"ID"	"Hashtag"	"IsLoc"	"FuzzyWuzzy"	"EditDist"	"Location"	"Lat"	"Long"	"ED0"	"ED1"	"ED2"
317877	"aristo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
456305	"onderwijs"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2028503	"duchenne"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
785573	"fail"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
563846	"ajax"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1997564	"songwritingcamp"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1186515	"ondernemerschap"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1242527	"elsborstlezing"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
326923	"dsmtw"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
54557	"mannenmode"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2002655	"psv"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1236329	"vuurdoop"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1217378	"klettersteig"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2126762	"de_bouwagenda"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
722390	"oranjevrouwen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
172903	"ret"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
847410	"dakar"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2076383	"lauwersmeer"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
337539	"kaasmarkt"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1277524	"jinek"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
657454	"hoofddorp"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1284113	"feyfen"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
931882	"afrikaanderplein"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
248571	"veenendaal"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
757296	"waardegedrevenzorg"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1516232	"ziggo"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
890672	"vestdijk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
239686	"roemer"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2540163	"spoorlopenlevensgevaarlijk"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1498560	"deken"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
1307406	"la vie"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
414340	"dagsinterklaas"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
2482396	"helmond binnenstad"	0	"NA"	"NA"	"NA"	"NA"	"NA"	0	0	0
